"Q1_star_avg","EIF_std","num_pp","Q1_star_lb","Q1_star_ub","patient_profiles","htn_med_class"
0.14061984095074,0.0315033553154764,220,0.0788732645324064,0.202366417369074,"(65,150]_(150,300]_(90,200]_[0,30]_(200,300]_(0.95,5]","arb"
0.451617236680257,0.0321014674441428,603,0.388698360489737,0.514536112870777,"[0,65]_[0,150]_[0,90]_[0,30]_[0,200]_(0.95,5]","arb"
0.331054298755626,0.0278176007887228,553,0.27653180120973,0.385576796301523,"(65,150]_[0,150]_[0,90]_[0,30]_(200,300]_(0.95,5]","arb"
0.330379920649174,0.026990893856159,882,0.277477768691103,0.383282072607246,"[0,65]_[0,150]_[0,90]_(30,100]_(200,300]_[0,0.95]","arb"
0.135975165669454,0.0516733147667754,122,0.0346954687265742,0.237254862612334,"[0,65]_(150,300]_[0,90]_(30,100]_(200,300]_(0.95,5]","arb"
0.381195208786404,0.0283532007010194,892,0.325622935412406,0.436767482160402,"[0,65]_[0,150]_[0,90]_[0,30]_[0,200]_[0,0.95]","arb"
0.135914080499365,0.0294616837554384,381,0.0781691803387058,0.193658980660024,"(65,150]_(150,300]_[0,90]_(30,100]_[0,200]_(0.95,5]","arb"
0.310155283827332,0.0255802753827033,419,0.260017944077234,0.360292623577431,"[0,65]_[0,150]_(90,200]_[0,30]_(200,300]_[0,0.95]","arb"
0.379005397041829,0.0387456448418358,441,0.303063933151831,0.454946860931827,"[0,65]_[0,150]_[0,90]_[0,30]_(200,300]_(0.95,5]","arb"
0.341084283791348,0.0138863563021459,1418,0.313867025439142,0.368301542143554,"(65,150]_[0,150]_[0,90]_[0,30]_[0,200]_[0,0.95]","arb"
0.483664083777018,0.0520332128617794,116,0.38167898656793,0.585649180986105,"(65,150]_[0,150]_(90,200]_(30,100]_[0,200]_(0.95,5]","arb"
0.114142062315249,0.0172141624909654,366,0.0804023038329572,0.147881820797542,"[0,65]_(150,300]_(90,200]_[0,30]_[0,200]_(0.95,5]","arb"
0.412349903367725,0.0220072901859983,975,0.369215614603168,0.455484192132282,"(65,150]_[0,150]_[0,90]_[0,30]_(200,300]_[0,0.95]","arb"
0.093360744326466,0.036927931956591,153,0.0209819976915477,0.165739490961384,"(65,150]_(150,300]_[0,90]_(30,100]_(200,300]_(0.95,5]","arb"
0.283539436994123,0.0226882469961898,476,0.239070472881591,0.328008401106655,"(65,150]_(150,300]_[0,90]_(30,100]_[0,200]_[0,0.95]","arb"
0.249032615043266,0.0252608400533503,386,0.199521368538699,0.298543861547832,"[0,65]_[0,150]_(90,200]_[0,30]_[0,200]_[0,0.95]","arb"
0.112277786890415,0.0220988110059067,377,0.0689641173188383,0.155591456461992,"[0,65]_(150,300]_(90,200]_[0,30]_(200,300]_(0.95,5]","arb"
0.113656101087716,0.0275416022470573,280,0.0596745606834833,0.167637641491948,"(65,150]_(150,300]_(90,200]_[0,30]_[0,200]_[0,0.95]","arb"
0.208714782084735,0.0409090762663695,752,0.12853299260265,0.288896571566819,"[0,65]_[0,150]_(90,200]_(30,100]_[0,200]_[0,0.95]","arb"
0.295418351750216,0.032184701249225,212,0.232336337301735,0.358500366198697,"(65,150]_(150,300]_(90,200]_[0,30]_[0,200]_(0.95,5]","arb"
0.172305071862208,0.0304567055360557,668,0.112609929011539,0.232000214712877,"(65,150]_(150,300]_[0,90]_[0,30]_[0,200]_[0,0.95]","arb"
0.102698097186054,0.021970620131555,185,0.0596356817282064,0.145760512643902,"(65,150]_(150,300]_(90,200]_(30,100]_(200,300]_(0.95,5]","arb"
0.231341864109027,0.0253885230098898,534,0.181580359009643,0.281103369208411,"[0,65]_[0,150]_(90,200]_(30,100]_[0,200]_(0.95,5]","arb"
0.111098604419419,0.0336073366253741,126,0.0452282246336861,0.176968984205153,"[0,65]_(150,300]_[0,90]_[0,30]_(200,300]_(0.95,5]","arb"
0.161427035534254,0.0441300821889941,396,0.0749320744438251,0.247921996624682,"[0,65]_[0,150]_(90,200]_(30,100]_(200,300]_(0.95,5]","arb"
0.327594606271988,0.0348315750430329,252,0.259324719187644,0.395864493356332,"[0,65]_(150,300]_[0,90]_[0,30]_(200,300]_[0,0.95]","arb"
0.382886417204344,0.0210123474579311,708,0.341702216186799,0.424070618221889,"[0,65]_[0,150]_[0,90]_[0,30]_(200,300]_[0,0.95]","arb"
0.219743540488286,0.054370500055648,345,0.113177360379216,0.326309720597356,"[0,65]_(150,300]_[0,90]_(30,100]_[0,200]_[0,0.95]","arb"
0.294452290735759,0.0451314141544226,436,0.20599471899309,0.382909862478427,"(65,150]_[0,150]_[0,90]_(30,100]_(200,300]_(0.95,5]","arb"
0.223513910917571,0.0317576360480736,227,0.161268944263347,0.285758877571795,"[0,65]_(150,300]_[0,90]_[0,30]_[0,200]_[0,0.95]","arb"
0.192849821630121,0.0256708179287626,287,0.142535018489747,0.243164624770496,"(65,150]_(150,300]_(90,200]_(30,100]_[0,200]_[0,0.95]","arb"
0.189159232040126,0.0320277364418608,283,0.126384868614079,0.251933595466173,"[0,65]_(150,300]_[0,90]_(30,100]_(200,300]_[0,0.95]","arb"
0.187326582868967,0.0541022603948203,302,0.0812861524951193,0.293367013242815,"(65,150]_(150,300]_[0,90]_(30,100]_(200,300]_[0,0.95]","arb"
0.196976419142654,0.0205193219803839,526,0.156758548061102,0.237194290224206,"(65,150]_(150,300]_[0,90]_[0,30]_[0,200]_(0.95,5]","arb"
0.143800002915521,0.0219936936848128,315,0.100692363293288,0.186907642537755,"(65,150]_(150,300]_(90,200]_(30,100]_(200,300]_[0,0.95]","arb"
0.105165212598583,0.0315142750095184,123,0.0433972335799269,0.166933191617239,"(65,150]_[0,150]_(90,200]_(30,100]_[0,200]_[0,0.95]","arb"
0.321060087642304,0.0706413407466527,78,0.182603059778865,0.459517115505743,"(65,150]_[0,150]_(90,200]_(30,100]_(200,300]_(0.95,5]","arb"
